parish	place
Adldorf	Willnegg
Adldorf	Winklarn
Adldorf	Wiselsing
Adldorf	Wiselstorf
Adldorf	Wisselsdorf
Adldorf	Wisselsing
Adldorf	Wißlstorf
Adldorf	Wochenweis
Adldorf	Wolfakirchen
Adldorf	Zacheried
Adldorf	Zeholfing
Adldorf	Zell
Adldorf	Zieglstadl
Adldorf	(null)
Aholming	
Aholming	Adldorf
Aholming	Aholming
Aholming	Breitfeld
Aholming	Büchling
Aholming	Burg
Aholming	Deggendorf
Aholming	Deining
Aholming	Dummeldorf
Aholming	Eigenschwaig
Aholming	Garnschweig
Aholming	Göttersdorf
Aholming	Id
Aholming	Ingolstadt
Aholming	Isarau
Aholming	Iserau
Aholming	Königsholz
Aholming	Kühmoos
Aholming	Labertshausen
Aholming	Landau
Aholming	Langenisarhofen
Aholming	Langisarhofen
Aholming	Lappersdorf
Aholming	Moos
Aholming	Moosmühle
Aholming	Neutiefenweg
Aholming	Niederpöring
Aholming	Obermoos
Aholming	Obernberg
Aholming	Oberpolling
Aholming	Oberpöring
Aholming	Osterhofen
Aholming	Ottmaring
Aholming	Pamling
Aholming	Pammling
Aholming	Pem
Aholming	Penzling
Aholming	Plattling
Aholming	Porpstschwaig
Aholming	Pralschwaig
Aholming	Probstschwaig
Aholming	Rauchschwaig
Aholming	Rimbach
Aholming	Schwaig
Aholming	Schwaighäusel
Aholming	Schwarzwöhr
Aholming	Tabertshausen
Aholming	Tiefenweg
Aholming	Waltendorf
Aholming	Zenting
Aicha-an-der-Donau	
Aicha-an-der-Donau	Aholming
Aicha-an-der-Donau	Aicha
Aicha-an-der-Donau	Aicha/Donau
Aicha-an-der-Donau	Alenufer
Aicha-an-der-Donau	Alperting
Aicha-an-der-Donau	Altach
Aicha-an-der-Donau	Altenegglofsham
Aicha-an-der-Donau	Altenmarkt
Aicha-an-der-Donau	Altenufer
Aicha-an-der-Donau	Altenurfer
Aicha-an-der-Donau	Altenurrhofer
Aicha-an-der-Donau	Aming
Aicha-an-der-Donau	Äming
Aicha-an-der-Donau	Amming
Aicha-an-der-Donau	Anhaimb
Aicha-an-der-Donau	Anning
Aicha-an-der-Donau	Arbing
Aicha-an-der-Donau	Arbing Aicha v. W.
Aicha-an-der-Donau	Arnstorf
Aicha-an-der-Donau	Asbach
Aicha-an-der-Donau	Assing
Aicha-an-der-Donau	Auerbach
Aicha-an-der-Donau	Auf der Leithen
Aicha-an-der-Donau	Augsburg
Aicha-an-der-Donau	Außerrötzing
Aicha-an-der-Donau	Bachling
Aicha-an-der-Donau	Beutelsbach
Aicha-an-der-Donau	Biburg
Aicha-an-der-Donau	Bleinfeld
Aicha-an-der-Donau	Böding
Aicha-an-der-Donau	Bruck
Aicha-an-der-Donau	Brümling
Aicha-an-der-Donau	Buch Pleinting
Aicha-an-der-Donau	Buchhofen
Aicha-an-der-Donau	Burghausen
Aicha-an-der-Donau	Burgstall
Aicha-an-der-Donau	Danböckerhof Engertsham
Aicha-an-der-Donau	Deggendorf
Aicha-an-der-Donau	Denkhof
Aicha-an-der-Donau	Dingolfing
Aicha-an-der-Donau	Draxlach
Aicha-an-der-Donau	Edling
Aicha-an-der-Donau	Egglham
Aicha-an-der-Donau	Eisenstorf
Aicha-an-der-Donau	Elsaß
Aicha-an-der-Donau	Endlau
Aicha-an-der-Donau	Enpolling
Aicha-an-der-Donau	Eschelhofen Eggenfelden
Aicha-an-der-Donau	Eschenbeuern Schw. Gmünd
Aicha-an-der-Donau	Esterndorf
Aicha-an-der-Donau	Esterndorf Vils
Aicha-an-der-Donau	Ettling
Aicha-an-der-Donau	Euchendorf
Aicha-an-der-Donau	Flintlbach
Aicha-an-der-Donau	Flintsbach
Aicha-an-der-Donau	Forsthart
Aicha-an-der-Donau	Frontenhausen
Aicha-an-der-Donau	Galgweis
Aicha-an-der-Donau	Garham
Aicha-an-der-Donau	Gassen
Aicha-an-der-Donau	Gössenbach
Aicha-an-der-Donau	Göttersdorf
Aicha-an-der-Donau	Gräfbeck
Aicha-an-der-Donau	Grafenau
Aicha-an-der-Donau	Grafendorf
Aicha-an-der-Donau	Grubhofen
Aicha-an-der-Donau	Gstein
Aicha-an-der-Donau	Haardorf
Aicha-an-der-Donau	Haars
Aicha-an-der-Donau	Hagenstetten
Aicha-an-der-Donau	Haid
Aicha-an-der-Donau	Hainstetten
Aicha-an-der-Donau	Hainstötten
Aicha-an-der-Donau	Handorf
Aicha-an-der-Donau	Harbach
Aicha-an-der-Donau	Hardorf
Aicha-an-der-Donau	Hauersdorf
Aicha-an-der-Donau	Heiming
Aicha-an-der-Donau	Heldengut
Aicha-an-der-Donau	Hencketsperg
Aicha-an-der-Donau	Hengersberg
Aicha-an-der-Donau	Herzogau
Aicha-an-der-Donau	Hierpolting
Aicha-an-der-Donau	Higgstetten Haselbach
Aicha-an-der-Donau	Hl. Blut
Aicha-an-der-Donau	Hof
Aicha-an-der-Donau	Hofkirchen
Aicha-an-der-Donau	Hörgolting
Aicha-an-der-Donau	Hub
Aicha-an-der-Donau	Hütting
Aicha-an-der-Donau	Iggensbach
Aicha-an-der-Donau	Imkhamp
Aicha-an-der-Donau	Inkam
Aicha-an-der-Donau	Isarhofen
Aicha-an-der-Donau	Jackling
Aicha-an-der-Donau	Jahrstorf
Aicha-an-der-Donau	Jenkofen
Aicha-an-der-Donau	Johanniskirchen
