profession	cnt
Grabnerhäusler	1
Grabnerin	1
Gräder	1
Gradl	4
Gradlbauer	2
Graf	14
Graf-Klosischer Ambtmann	1
Graf 	2
Graf Berchemischer Gerichtshalter	1
Graf Oberstlieutenant	1
Graf Wallescher Schloßmaier	1
Grafbauer	1
Grafenbauer	2
Grafenbauertochter	1
Grafengutsbesitzer	1
Grafenhütterpächter	1
Grafenstochter	1
Grafentochter	1
Graff	1
Gräffin	1
Gräfin	5
Grafischer	2
Graimel	1
Graindlbauer	1
Grainerbäcker	1
Gramer	3
Grämer	1
Graminger	2
Gramingerbauer	1
Grammataeus	3
Grammateus	1
Grammer	3
Gramsl 	1
Gramslbauer 	1
Gramslbäuerin	1
Gramslbauerstochter	1
Granadier	19
Gränadier	1
Gränadier Corporal	1
Granadier Lieutenant	1
Granadier Oberlieutenant	1
Granadiercorporal	2
Granadierercorporal	1
Granadir	1
Granadirer	3
Granarius	4
Granarius et Judex	1
Grandl	1
Grandlbauer	1
Grandlgütlerin	1
Gränertierer	1
Granitwerkbesitzer	2
Gräniz Aufschlöger	1
Gränizaufschlagerin	1
Gränzaufseher	10
Gränzbeymauthner	1
Gränzfeldwebel	1
Gränzmauthner	1
Gränzoberaufseher	1
Gränzoberaufseher zu Pferd	1
Gränzoberkontroleur	2
Gränzwachoberaufseher	1
Gränzwachstationsführer	1
Gränzzollbeamter	1
Gränzzollcordoniß	1
Grarberger	1
Grasbergerbauer	2
Grasbergertochter	2
Graschopf	1
Grasmann	1
Grasmannweber	1
Grassermanngütler	2
Graßermannsöldner	1
Graßfischerssohn	1
Graßhölzlwimer	1
Gräßlingertochter	2
Graßner	1
Graßsteiner	1
Grättler	1
Gratzentochter	2
Grätzinger	1
Graveur	6
Gräzingerbauer	2
Gräzlhäusler	1
Gregarius	1
Greilbauer	2
Greimelbauer	1
Greimertochter	1
Greiml	1
Greimlbauer	1
Greimlbauerstochter	2
Greimmel	2
Greinermühler	1
Greinhoferbauer	1
Greinhoferbauerstochter	1
Greinhoftochter	1
Greinmühler	1
Greinmüller	1
Greinmüller 	1
Greinmüllerstochter	1
Greisltochter	1
Greismüller	1
Greismüllerin	1
Greißlbauer	2
Greißlgütler	1
Grenadier	23
Grenadiercorporal	2
Grenadierfeldwäbl	2
Grenadierfuorier	1
Grenadierhaubtmann	1
Grenadierhauptman	1
Grenadierstochter	1
Grenadir	1
Grenzaufschleger	1
Grenzaufseher	54
Grenzaufsehergehilfe	1
Grenzfeldweibl	1
Grenzmautner	1
Grenzoberaufseher	17
Grenzoberaufseher 	1
Grenzoberaufsehrstochter	1
Grenzobercontroleur	1
Grenzobercontroleurstochter	3
Grenzobercontrolleur	1
Grenzoberkontroleur	1
Grenzollamtsoberkontroleur	1
Grenzrevisionsaufseher	1
Grenzwachaufseher	1
Grenzwachoberaufseher	1
Grenzwachoberaufseher zu Pferd	1
Grenzwachstationsführer	11
Grenzwächter	1
Grenzzollamtkontroleur	1
Grenzzollamtoberkontroleur	1
Grenzzollamtsoberaufseher	1
Grenzzollamtsobercontrolleurstochter	1
Grenzzollamtsoberkontroleur	1
Grenzzollaufseher	1
Grenzzolloberaufseher	1
Gricht-und Stattprocurator	1
Grichts- und Eisenambtman	1
Grichts Pott	2
Grichtsambtman	1
Grichtsamtman	2
Grichtsamtmann	1
Grichtsboth	6
Grichtsbottin	1
Grichtschreiber	16
Grichtschreiberin	2
Grichtschreiberstochter	12
Grichtschreuber	1
Grichtsdiener	4
Grichtsdienerin	1
Grichtsdienerstochter	1
Grichtspott	1
Grichtspottentochter	2
Grichtspottntochter	1
Grichtsprocurator	10
Grichtsschreiberstochter	1
Griebl	1
Griebl 	2
Grieblbauer	4
Grieblbäuerin	1
Grieblstochter	1
Griemüllerin	2
Griesbinderin	1
Griesbindersgattin	1
Griesbindin	1
Grieslmühlertochter	1
Grieslmülerstochter	1
Griesmühler	1
Griesmüler	1
Griesmüller	15
Griesmüllerin	1
Grießenauer-Bäcker	1
Grießl	1
Grießlbauer	1
Grießlerstochter	1
Grießmühlerstochter	1
Grießmüller	2
Grießschmidt	1
Grießstätter	1
Griesstätter	1
Griesstetter	2
Griesweber	2
Griesweberanwesensbesitzer	1
Griesweberanwesensbesitzerin	1
Grillhäusler	1
Grilltochter	1
Grimmengütler	1
Grimmergütler	1
Grimmergütlerstochter	1
Grinwimmer	1
Grinzinerbauer	1
Grinzingertochter	1
Gristian	1
Gristiangütler	1
Gröbner	1
Gröbner 	6
Gröbnerbauer	7
Gröbnerbauerssohn	1
Gröbnergütler	1
Gröbnerin	1
Gröbnertochter	1
Groda	1
Gröllmiller	1
Grömer	2
Groskroibauer	1
Groß- Geschmeidhändler	1
Groß- oder Langholzner	1
Groß- u. Geschmeidhändler	1
Groß- u. Gschmeidhändler	3
Groß- u. Gschmeidhändlersgattin	1
Gross- und Kleinuhrmacher	1
Gross und Kleinuhrmacher	1
Großaicher	6
Großaicherin	1
Großaichertochter	1
Großaichlberger	1
Großbauer	5
Großbauerstochter	1
Großberreiter	3
Großberreiterbauer	1
Großberreiterin	1
Großbleicher	1
Großdeimel	1
Großdeiml	2
Großdeimlin	1
Große Blettenbinder	1
Großedhofer	1
Großeggenberger	1
Großeichlberger	1
Großeichlbergerin	1
Großengelsberger	3
Großenglsberger	1
Großenglsperger	1
Grossenhofschaller	1
Großenhofschaller	1
Großer Gmeindl	1
Großer Päusl	1
Großer Peißl	1
Großer Riepl	1
Großermann	1
Großermannsöldner	1
Großerschleberger	2
Großertrinkberger	1
Großförster	1
Großforsthofer	1
Großgalbauer	1
Großgallauer	2
Großgmeindltochter	1
Großgoldhubertochter	1
Großgtetterbauer	1
Großhaitzingerbauer	1
Großhandelstochter	1
Großhändler	61
Großhändlergattin	1
Großhändlerin	5
Großhändlers Wittwe	1
Großhändlersassociegattin	1
Großhändlersgattin	9
Großhändlerskind	1
Großhändlerssohn	1
Großhändlerstochter	11
Großhandlungsassocie-Gattin	1
Großhandlungsmitglied	3
Großhäuslberger	1
Großheislbauer	1
Großheitzinger	1
Großheyhöller	1
Großhinterecker	2
Großhölzlmaier	1
Großhölzlwimmer	1
Großhölzlwimmertochter	1
Großhuber	1
Großhuberbauer	2
Großhundsberger	4
Großiffersberger	1
Großiffersbergerbauer	1
Großkammerbauer	2
Großkammerbauernsohn	1
Großkraft	3
Großkraftbauer	3
Großkraftenbauer	1
Großkray	1
Großkraybauer	1
Großkroibauer	3
Größlingerbauer	4
Großloher	1
Großloherin	1
Großmair	1
Großmatzen 	1
Großmatzenbauerssohn	1
Großmatzenin	1
Großmatzsohn	1
Großmetzger	1
Großmötzlbauer	1
Großpitzinger	1
Großreiterbauer	1
Großscheibelhubersohn	1
Großschleberger	2
Großschleeberger	2
Großschleindlsperger	4
Großschlepferbauer	2
Großschwarzenbauer 	1
Großschwarzenbäuering	1
Großschwarzenbauerstochter	1
Großsöllbrunner	1
Großstainer	1
Großsteigthalerin	1
Großsteiner	7
Großstepferbauer	1
Großstepfersohn	1
Großstrasser	1
Großstraßer	2
Großstraßertochter	1
Großstraßnerbauer	1
Großthaler	2
Großthalerbäuerin	1
Großthaner	1
Großthaner 	1
Großthanerbauer	1
Großthanertochter	1
Großtrinkberger	1
Grossuhrmacher	1
Großuhrmacher	8
Großuhrmacherstochter	1
Großvater d. BG	1
Großwallnerbauer	1
Großweber	1
Großweihererbauer	1
Großwetzl	1
Großweyerer	2
Großwimerbauer	1
Großwimmer	3
Großwimmerbauer	3
Großwimmerbauertochter	1
Großwinklerbauer	1
Großzallerseder	1
Grubauer	1
Grübelbauer	1
Grübelsohn	1
Grubenbäuerin	1
Gruber	20
Gruber 	8
Gruberbauer	33
Gruberbäuerin	1
Gruberbauerssohn	2
Gruberbauerstochter	1
Gruberbauertochter	1
Grubersohn	4
Gruberstochter	1
Grubertochter	9
Grubl	1
Grübl	5
Grüblbauer	3
Grübler	1
Grüblerin	1
Grüblgütler	1
Grübltochter	3
Grubmühler	1
Grubmüller	5
Grubmüllerin	1
Grubmüllerssohn	1
Grubmüllertochter	1
Grubwieser	1
Grubwiesertochter	1
Grueber	1
Gruebmiller	1
Gruggk	1
Grünaigl	1
Grünauer	4
Grünauersohn	1
Grünauertochter	1
Grünäuglgütler	1
Grund-und Hausbesitzer	1
Grundbauer	1
Grundbesitzer	4
Gründbesitzerin	1
Grundbesitzerstochter	2
Grundner	7
Grundnerbauer	4
Grundnersohn	1
Grundnertochter	1
Grundtnerbauerstochter	1
Grundtprobst	1
Gründwürmhäusler	1
Grünhagersöldner	1
Grünlobergütler	1
Grünlobersohn	1
Grünthalerschneider	1
Grünthalertochter	2
Grünzingertochter	1
Gruseder	1
Grußberger	1
Gschaidnerbäuerin	1
Gschedertochter	1
Gschirhandler	1
Gschlachtltochter	1
Gschlergertochter	1
Gschlosstrescher	2
Gschlosverwalterinn	1
Gschmaid- u. Großhändler	1
Gschmaiderl	2
Gschmaiderlin	1
Gschmaidhändler	1
Gschmaidhandlungscommis	2
Gschmaidhandlungscommisgattin	1
Gschmaidmacher	1
Gschmeid- u. Großhändler	1
Gschmeidelbauerntochter	1
Gschmeiderl	2
Gschmeiderltochter	1
Gschmeidgroßhändler	1
Gschmeidhandler	1
Gschmeidhändler	5
Gschmeidhändlerin	3
Gschmeidhändlers Kind	2
Gschmeidhändlersgattin	1
Gschmeidhandlungscompagnon	1
Gschmeidler	1
Gschmeidmacher	13
Gschmeidmacherin	1
Gschmeidmacherstochter	1
Gschmeidschmidt	1
Gschmeidthandler	1
Gschmeidtmacher	2
Gschneidlerin	1
Gschödermayr	1
Gschwandner	1
Gschwandtnergütler	1
Gschwandtnergütlerin	1
Gschwendner	1
Gschwendnerbauer	1
Gschwendtner	1
Gschwendtnerbauer	1
Gschwendtnerbauerstochter	1
Gsinbauerntochter	1
Gsindtkohmaister	1
Gsöll	1
Guardarobb	1
Guardiknecht	1
Guarnisonsphysicus	1
Guarterer	1
Gubernatrix	1
Guckhäusler	2
Guetbesizer	2
Guetbesizerin	1
Guethbesizer	3
Guetsbesizer	7
Guettbesizer	13
Guettbesizerin	2
Guettbsizer	5
Guettbsizerin	1
Güetter Besecherin	1
Gugelweitochter	1
Guggenberger	1
Guggenbergerbauer	1
Guglweidgütler	5
Guglweitgütler	1
Guhtsamptsman	1
Guhtspader	1
Gülter	1
Gunpinger	1
Gunzinger	1
Günzlmayr	1
Guppenberger	1
Gürtler	84
Gürtler Gesell	1
Gürtlergesele	1
Gürtlerin	9
Gürtlermeister	19
Gürtlermeisterin	1
Gürtlermeisterstochter	2
Gürtlers Söhnlein	1
Gürtlersgattin	2
Gürtlersgesell	1
Gürtlersgeselle	1
Gürtlersohn	1
Gürtlerssohn	3
Gürtlerstochter	22
Gürtlerswittwe	1
Gürtlerwittew	1
Gürtlmacher	1
Gurtner	1
Gürtner	1
Gürttler	5
Gürttlergesell	1
Gürttlerin	2
Guscher	1
Güsser	2
Gußmeister	2
Gußmeisterskind	2
Güssmihler	1
Güssmühler	1
Güssmüller	2
Güßmüller	1
Guster 	20
Guster Mösner	1
Gusterer	146
Gusterersohn	4
Gusterertochter	1
Gusterin	2
Gustor	1
Gutbesitzer	18
Gutbesitzerin	9
Gutbesizer	28
Gütchenbesitzer	1
Gütelsbesitzer	2
Gutenöckh Verwalter	1
Guterer	1
Güterhallarbeiter	3
Güterlader	8
Güterladerswittwe	1
Güterschaffner	5
Güterverlader	2
Güterverwalter	1
Guthartbauer	1
Guthbesitzer	1
Guthbesizer	1
Güther Bschauerin	3
Güther und Getraydbeschauer	2
Gütl 	1
Gütlbauer	4
Gütlbauerntochter	1
Gütlberger	3
Gütlbergerin	1
Gütlbesitzer	3
Gutler	2
Gütler	6956
Gütler 	25
Gütler  	8
Gütler (Öllmann)	1
Gütlerbauerssohn	1
Gütlerin	451
Gütlering	1
Gütlers	1
Gütlers - und Schuhmacherstochter	1
Gütlersausträgler	1
Gütlerseheleute	1
Gütlerseheweib	1
Gütlersfrau	6
Gütlersgattin	1
Gütlerskind	1
Gütlersohn	10
Gutlerspergerbauer	2
Gütlerssohn	267
Gütlerstocht4er	1
Gütlerstochter	1801
Gütlersweib	1
Gütlerswittwe	90
Gütlerswittwer	1
Gütlerswitwe	11
Gütlertochter	9
Gütlinhaberin	1
Gütlpächterin	1
Gütlsbesitzer	1
Gütltochter	3
Gütlweib	1
Gütlwirth	1
Guts- u. Majoratsherr	1
Guts- u. Rentenverwalter	1
Gutsadministrator	1
Gutsbauer	1
Gutsbesitzer	134
Gutsbesitzer 	1
Gutsbesitzerin	15
Gutsbesitzerssohn	3
Gutsbesitzerstocher	1
Gutsbesitzerstochter	13
Gutsbesizer	6
Gutsbesizerstochter	1
Gutscher	31
Gutscher 	1
Gutschers Sohn	1
Gutscherstochter	1
Gutschierssohn	1
Gutsförsterstochter	1
Gutsher 	1
Gutsher@99	1
Gutsherr	6
Gutsinhaber	3
Gutspächter	5
Gutsübernehmerin	2
Gutsverwalter	5
Gutswercher	1
Guttbesitzer	4
Guttbesizer	5
Guttbesizerin	1
Gutthalertochter	1
Gutthat	2
Gutthatbauer	1
Güttler	6
Güttlerswittwe	1
Guttscher	3
Guzer	2
Gwikher	1
Gymnasialassistent	5
Gymnasiallehrer	6
Gymnasialprofessor	5
Gymnasialprofessor  	2
Gymnasialprofessorstochter	2
Gypsformator	2
Gypsformer	1
Gypsmüller	1
H@	1
Ha@	1
Haadersammler	2
Haakhenschmidt	1
Haarhäuslmannstochter	1
Haarstubenmanntochter	1
Haasbauer	2
Haasbinder	1
Haasenbauer	1
Haasenbauertochter	1
Haasmannbauer	2
Haaßbauer	1
Haberbauer	1
Haberbäuerin	1
Häberger	1
Häbergersohn	1
Haberl	1
Haberlhäusler	1
Habitans	2
Habitantus	1
Hachinger	1
Hachingerbauer	1
Hachmuth	1
Hackenschmid	11
Hackenschmid Tochter	2
Hackenschmidstochter	1
Hackenschmiedstochter	1
Hacker	1
Hackermeister	1
Hackerschmid	6
Hackerschmiedstochter	1
Hackhenschmid	1
Hackhenschmidt	1
Hackhenschmidtin	1
Hackhenschmidtstochter	1
Hacklehnerbauer	1
Hacklehnerbauerstochter	1
Hacklgütler	1
Hacklmaurerin	1
Hackspaitner	2
Haderlumper	5
Haderlumperinn	1
Hadermann	1
Hadermannstochter	1
Hadern-Niederlage-Commisionair	1
Hadernhändler	1
Hadernniederlagecomissionär	1
Hadernsamler  	1
Hadernsamlerin	1
Hadernsamlertochter	1
Hadernsammer	1
Hadernsammler	14
Hadernsammlerin	5
Hadernsammlerstochter	2
Hadersamlerin	1
Hadersammler	2
Hadersammlerin	1
Hadtlersfrau	1
Hädtschür	1
Haeres	19
Haeres paterni domicilii	1
Hafenbinder	12
Häfenbinder	10
Hafenbinderin	1
Hafenbinders Wittwe	1
Hafenbindersgattin	1
Hafenbinderstochter	2
Häfenbünder	1
Hafenrathe	1
Hafernstochter	1
Häffenbinder	1
Häffenbünder	2
Haffner	58
Haffnergsöll	1
Haffnerin	1
Haffnerstochter	2
Hafing	1
Hafner	341
Häfner	1
Hafner 	9
Hafner Tochter	1
Hafnerbauer	4
Hafnergattin	1
Hafnergesell	10
Hafnergesell 	2
Hafnergeselle	10
Hafnergeselle2	1
Hafnergesellentochter	1
Hafnergütler	1
Hafnerin	27
Hafnerinn	1
Hafnerkhind	1
Hafnermaister	4
Hafnermaisterin	1
Hafnermeister	95
Hafnermeisterin	2
Hafnermeistersgattin	1
Hafnermeisterstochter	6
Hafners Sohn	1
Hafnersgattin	1
Hafnersgesell	2
Hafnersgeselle	1
Hafnerskind	1
Hafnersohn	3
Hafnerssohn	8
Hafnerstochter	72
Hafnerstochterkind	1
Hafnerstöchterlein	1
Hafnerswittwe	10
Hafnertochter	13
Hafnerwirth	1
Hageneder	1
Hager	4
Hagerbauer	1
Hagerbauerstochter	1
Hagersohn	3
Haghuber	6
Haghuberbauerssohn	1
Hagmühler	1
Hagmüller	1
Hagner	3
Hagnerin	1
Hahnenschmid	1
Haidbüchlerhäusler	1
Haidbüchlerhäuslerstochter	1
Haider	8
Haider 	2
Haider+	1
Haiderbaeur	1
Haiderbauer	7
Haiderbäuerin	1
Haiderbauerntochter	1
Haiderbauerstochter	1
Haidermoosbauer	1
Haiderstochter	1
Haidertochter	1
Haidingergütler	1
Haidmiller	1
Haidtschneider	1
Haidüker	1
Haidvolksohn	2
Haidweber	1
Haidweberstochter	1
Haimederbauerstochter	1
Haimelgütler	1
Haimelgütlerstochter	1
Haimelsöldner	1
Haimerl	1
Haiminger	1
Haimingerbauer	2
Haindl	9
Haindlbauer	1
Haindlgütler	1
Haindlhofbesitzer	1
Haindlmaier	2
Haindlmaiersohn	2
Haindlmairbauer	1
Haindlmairbäuerin	1
Haindlmairbauersohn	1
Haindlmayrbauerstochter	1
Haindlmayrtochter	1
Haindräher	1
Hainerer	1
Hainringler	1
Hainzlbauer	1
Haisler	1
Haitzböckbauer	1
Haizenberger 	1
Haizenbergerbauerntochter	1
Haizer	1
Haizingerbauer	6
Haizingerbäuerin	1
Haken- und Waffenschmidmeister	1
Hakenschmid	1
Hakhenschmidt	7
Hakherschmidt	1
Hakkerschmidstochter	1
Halbauer	2
Halbauerssohn	1
Halbbauer	36
Halbbauer 	18
Halbbäuerin	3
Halbbauernsohn	1
Halbbauerssohn	1
Halbbauerstochter	14
Halbeilfuhr-Meßer	1
Halbhausbesitzer	48
Halbhausbesitzerin	4
Halbhausbesitzerssohn	1
Halbhäuserin	1
Halbhäusler	62
Halbhäusler 	2
Halbhäusler  	1
Halbhäuslerin	6
Halbhäuslerstochter	4
Halbhofbauer	1
Halbhofbaur	1
Halbhofbesitzer	1
Halbhöfler	10
Halbhöflerin	1
Halbhöflerstochter	2
Halbsöldner	2
Halfingergütler	2
Halfingergütlerin	1
Hall- u. Oberamtsassistententochter	1
Hallamtsdiener	1
Hallarbeiter	8
Hallbauer	1
Halloberinspektor	1
Halmelsöldner	1
Halmerer	2
Halml	1
Halml Leuthe	2
Halmlehnerin	1
Halmltochter	1
Haltsteller	3
Hambtman	2
Hamelbauer	1
Hamerigütlerin	1
Hamerl	1
Hamerlbauer	1
Hamersberger	1
Hamerschmid	2
Hamerschmidgesell	1
Hamerschmidsohn	1
Hamerschmidt	7
Hamerschmidtochter	1
Hamerschmied	1
Hamerschmift	1
Hammer und Hakhenschmidt	1
Hammerarbeiter	2
Hammerbauer	1
Hammerbergertochter	1
Hammerkhupfferschmidt	1
Hammerlbauer	3
Hammerlbauerssohn	1
Hammerlsbauer	1
Hammersberger	4
Hammerschmid	36
Hammerschmidgesell	2
Hammerschmidgeselle	1
Hammerschmidin	1
Hammerschmidpächter	1
Hammerschmidstochter	6
Hammerschmidt	14
Hammerschmidtgsöll	1
Hammerschmidtochter	12
Hammerschmidtstochter	1
Hammerschmied	22
Hammerschmiedgeselle	1
Hammerschmiedin	6
Hammerschmiedmeister	2
Hammerschmiedpächter	1
Hammerschmiedsgattin	1
Hammerschmiedssohn	1
Hammerschmiedstochter	3
Hammerschmiedtochter	4
Hammerschreiber	1
Hammertochter	1
Hammmer	1
Hanbäuerin	1
Hanberger	1
Handelmann	2
Handelmannstochter	2
Handelmanssohn	2
Handelsagent	1
Handelsagentenkind	1
Handelscommis	1
Handelsfrau	35
Handelsgärtner	1
Handelsherr	19
Handelsman	14
Handelsmänin	1
Handelsmann	467
Handelsmann 	4
Handelsmann Kind	1
Handelsmannin	3
Handelsmännin	3
Handelsmanns- u. Fragnersgattin	1
Handelsmanns- u. Zeugmacherstochter	1
Handelsmannsfrau	2
Handelsmannsgattin	8
Handelsmannskind	1
Handelsmannsohn	1
Handelsmannssohn	12
Handelsmannssöhnlein	2
Handelsmannstochter	76
Handelsmannswittwe	6
Handelsmanntochter	1
Handelßmann	1
Handl 	1
Handlanger	1
Handlbauer	3
Handlbäuerin	1
Handleder	1
Handler	1
Händler	21
Handlerbauerstochter	1
Händlerin	1
Handlersfrau	6
Händlersfrau	1
Handlerstochter	1
Händlerstochter	3
Händlertochter	1
Handlgutsbesitzer	1
Handlmanin	1
Handlmann	3
Handlmannssohn	1
Handlmannstochter	1
Handlsagent	1
Handlschuster	1
Handlscommis	1
Handlsfrau	18
Handlsher	1
Handlsherr	15
Handlsman	156
Händlsman	1
Handlsman 	1
Handlsman und Gastgeb	1
Handlsman und Weingastgeb	1
Handlsmanin	1
Handlsmann	52
Handlsmanns Tochter	1
Handlsmannstochter	2
Handlßman	1
Handlungsagent	1
Handlungsassocie	1
Handlungsbesitzer	2
Handlungsbuchhalter	1
Handlungskommis	2
Handlungskommissar	1
Handschuechmacher	1
Handschuehmacher	1
Handschuemacher	1
Handschuhmacher	1
Handtlanger	1
Handtlsdiener	1
Handtlsman	63
Handtlsmanin	7
Handtlsmann	1
Handtlßman	1
Handtlßmanin	1
Handtschuehmacher	8
Handtschuemacher	1
Handwerckher	2
Haneder	3
Hanederbauer	1
Hang	1
Hangtochter	1
Hanhuber	1
Haningerbäuerin	1
Hanndlsmanin	1
Hanndlsmann	2
Hanns	1
Hannsbauer	9
Hannsbauerntochter	1
Hannsbauerstochter	2
Hannslbauer	3
Hannslbauerstochter	2
Hannsschneider	1
Hannsschneidergütler	1
Hanöder	1
Hanreigütler	1
Hansbauer	11
Hansbauer 	4
Hansbauer  	1
Hansbauerntochter	8
Hansbindergütler	1
Hanscrammer	1
Hanscrammerpaur	1
Hansel	2
Hanselbauerssohn	1
Hanselmühler	1
Hanskasper	1
Hanslbauer	6
Hanslbäuerin	1
Hanslbauerstochter	1
Hanslehner	1
Hanslinder	1
Hanslmaierbauer	1
Hänslmüller	1
Hanslschlottner	1
Hanslschneidertochter	1
Hansmühlersohn	1
Hanspleindlbauer	1
Hansschneider	3
Hansschneidergütler	1
Hansschneiderin	1
Hansschneidertochter	1
Harbäckbauer	1
Harböcktochter	1
Hardl	1
Hardmüller	1
Hardtmüller	1
Hardtmüllerin	1
Hareckerbauerssohn	1
Hargaßner	1
Hargassnersohn	1
Harhamer	1
Haringerbauer	3
Harland	1
Harlander	10
Harlanderbauer	3
Harlanderbauerssohn	1
Harlanderbauerstochter	2
Harlanderssohn	1
Harlandertochter	1
Harmerbauer	1
Harmigfranzltochter	1
Härndlgütler	2
Harngbauer	1
Harnhermstochter	1
Harnisch	1
Harpfingerbauer	1
Harrarius	1
Harrecker	2
Harreckerbauer	2
Harrer	1
Harrerbauer	5
Harrertochter	1
Harringer	1
Harringerbauer	1
Hartbauer	1
Hartberger	1
Hartdobler	1
Hartdobltochter	1
Harthpredlschlager	1
Harthuber 	1
Harthubergütler	1
Hartl	3
Hartl 	1
Hartlbauer	13
Hartlbäuerin	3
Hartlbauerssohn	2
Hartlbauerstochter	1
Hartlederbauer	2
Hartlmüller	1
Hartlöder	1
Hartltochter	5
Hartmannbauer	1
Hartmühlertochter	1
Hartmüller	6
Hartschneider 	1
Hartschneidergütler	2
Harwegbauer	2
Haselhuber	1
Hasengütlerstochter	1
Hasenweber	1
Hasererbauer	1
Haslbaursohn	1
Haslbeckbäuerin	1
Häsler	2
Häslerin	1
Haslinger	1
Haslingertochter	4
Haslingerweber	1
Hasteiger	1
Hatschier	8
Hätschier	3
Hatschierer	1
Hatschierin	1
Hatschiers Ehegattin	1
Hatschierschmid	1
Hatschierstochter	1
Hatschir	1
Hatschirer	1
Hatthuber	1
Hatzbauer	1
Hätzlsohn	1
Hau@sgsöllmaistersohn	1
Häübelmacher	1
Häubelmacherssohn	1
Haubenbauer	1
Hauberger	1
Häublmacher	1
Häublmacherin	2
Häublmacherstochter	1
Haubmann	1
Hauboist	1
Haubtman	12
Haubtmanin	4
Haubtmann	1
Haubtmans Dochter	1
Haubtmantochter	1
Haubtpfleger	8
Haubtpflegerin	1
Haueleitner	1
Hauerbauer	2
Hauergütler	2
Haufhuber	1
Hauhalterin	1
Häuler	1
Häulerin	6
Häulersohn	1
Häulerssohn	1
Häulmann	1
Häulser	1
Haunbergerbauer	3
Haunreiter	1
Haunreitergütler	4
Häuoferssohn	1
Hauptcassier	1
Hauptcassier 	1
Hauptlehrer	3
Hauptmagzinsverwalter	1
Hauptman	4
Hauptmanin	2
Hauptmann	93
Hauptmann u. Compagniechef 	1
Hauptmannin	1
Hauptmänninn	1
Hauptmannstochter	12
Hauptmannswittwe	2
Hauptmauth- und Salzamtgegenschreiber	1
Hauptmauthner	1
Hauptmautner	2
Hauptpfleger	5
Hauptpflegerin	1
Hauptsteueramtsassistent	1
Hauptzollamtassistentenstochter	1
Hauptzollamtcontroleurstochter	1
Hauptzollamtsassistent	14
Hauptzollamtscontroleur	6
Hauptzollamtscontroleurstochter	1
Hauptzollamtscontrolleur	3
Hauptzollamtsdiener	25
Hauptzollamtsdienerin	3
Hauptzollamtsinspector	2
Hauptzollamtskontroleur	1
Hauptzollamtskontrolleur	1
Hauptzollamtsoffizial	2
Hauptzollamtsverwalter	6
Hauptzollamtsverwalter  	1
Hauptzollamtsverwalterstochter	4
Hauptzollamtverwalter	1
Hauptzollamtverwalterstochter	2
Hauptzollassistent	2
Haur	2
Haus- und Gartenbesitzer	2
Haus- und Grundbesitzer	7
Haus- und Grundbesizer	1
Haus-und Grundbesitzer	1
Haus Innhaber	1
Haus Knapp	1
Haus und Paumaister	1
Haus1 	1
Hausantheilbesitzerin	1
Hausantheilhaber	1
Hausantheilsbesitzer	4
Hausantheilsbesitzerin	1
Hausb 	1
Hausbauer	1
Hausbauerstochter	1
Hausbeistzer	1
Hausbeitzerin	1
Häusberger	1
Hausbesitezr	1
Hausbesitzer	2232
Hausbesitzer 	7
Hausbesitzer  	1
Hausbesitzer und Musikus	1
Hausbesitzerin	308
Hausbesitzerin 	1
Hausbesitzerkind	1
Hausbesitzers Eheweib	3
Hausbesitzers und	1
Hausbesitzers und Kramersehefrau	1
Hausbesitzersehefrau	1
Hausbesitzerseheweib	1
Hausbesitzersfrau	5
Hausbesitzersgattin	14
Hausbesitzerskind	11
Hausbesitzerssohn	19
Hausbesitzerstochter	169
Hausbesitzersweib	2
Hausbesitzerswittwe	25
Hausbesitzr	1
Hausbesizer	7
Hausbesti	1
Hausbote	1
Hausbsi	1
Hausdiener	2
Hauseigentümer	1
Häuselbauerntochter	1
Häusellehner	1
Häuselmann	1
Häuselmannn	1
Häuselsbesitzer	1
Häuselsmannstochter	1
Hausensohn	1
Hauser	3
Hauser 	4
Hauserbauer	1
Hauserin	9
Häuserin	3
Hausersohn	1
Hauserstochter	2
Hausertochter	1
Hausfrau	2636
Hausfraw	5
Hausgehilfin	1
Hausgesell	1
Haushagerbauer	1
Haushalter	2
Haushälter	1
Haushalterin	11
Haushälterin	54
Haushälterin 	1
Haushälterinn	1
Haushofarbeiter	1
Hausierer	2
Hausiererin	1
Hausiererstochter	1
Hausierhändlerin	1
Hausinhaber	6
Hausinnhaber	1
Hausirer	4
Hausirerin	1
Hausirhändlerin	1
Hauskhnapp	1
Hausknap	1
Hausknapp	2
Hausknappe	1
Hausknappenstochter	1
Hausknecht	65
Hauskrammerbauer	1
Hausl	2
Hauslbauer	2
Häuslbauer	3
Häuslbauerntochter	1
Häuslbesitzer	7
Häuslbesitzerin	6
Häuslbesitzersto	1
Häuslehner	2
Hauslehnerbauer	2
Häuslehnerbauer	1
Hauslehnerbauerstochter	1
Hausler	20
Häusler	4303
Häüsler	1
Häusler- u. Zimmermannstochter	1
Häusler-und Zimmermannstochter	1
Hausler 	1
Häusler 	54
Häusler  	7
Häusler u. Schneider	1
Hauslerin	4
Häuslerin	444
Häuslerin 	1
Häuslerin u. Eierhändlerin	1
Häuslering	1
Häuslerinn	1
Häuslermeister	1
Häuslers- oder Zimmermannswittwe	1
Häuslers- und Weberssohn	1
Häuslers- und Zimmermannstochter	1
Häuslerseheleute	2
Häuslersfrau	2
