profession	cnt
Aichmühlertochter	1
Aichmüller	10
Aichmüllerin	1
Aichpointner	3
Aichstöckl	1
Aidnerbauerswittwe	2
Aigenbauerstochter	1
Aigengruberbauer	1
Aiger	1
Aigner	41
Aigner 	9
Aignerbauer	23
Aignerbäuerin	3
Aignerbauerntochter	1
Aignerbauerstochter	1
Aignerbauertochter	1
Aignergütler	3
Aignergütlerstochter	1
Aignergütlertochter	1
Aignermühler	1
Aignermühlerinn	1
Aignermühlersohn	2
Aignersbauerssohn	1
Aignersohn	2
Aignersöldner	1
Aignertochter	9
Aignerwitwe	1
Aigngruber	1
Aindl	6
Aindlbauerstochter	1
Aindlin	1
Aingrubertochter	1
Ainsieglbauer	1
Ainspänninger	1
Akermann	1
Akermannsohn	1
Akkordant	3
Akkordantenstochter	1
Akkordantestochter	1
Aktuar	10
Aktuarskind	1
Albae cervisiae hospes	1
Albanbauer	5
Albani	2
Albanigütler	1
Albanitochter	2
Albeingütler	1
Alber	7
Alberbauer	7
Alberbäuerin	1
Alberer	2
Albererbauer	1
Albersperger	1
Albrecht	1
Alenda 	1
Alendarius	9
Alendus	4
Alendus@99	1
Alimentaria	3
Alimentarius	11
Alimentarius rusticus	1
Ällbrenner	1
Allmosenpfründnerin	4
Allvischhandler	1
Almannsberger	2
Almosenpfründerin	1
Almosenpfründner	1
Almosenpfründnerin	1
Alt- und Neuöttinger Bote	1
Altenöetingerboth	1
Altenpuchner	1
Alter Austrägler	1
Alter Bauer	2
Alter Hofpauern Sohn	1
Alter Huber	1
Altfalterer	1
Altfaltererbauer	1
Altfalterstochter	1
Altfiehrer	1
Altist	13
Altista	6
Altmansberger	1
Altöttinger Bote	2
Altschärg	1
Altschörgentochter	1
Altschuster	1
Altwieser	2
Altwiesersohn	1
Alumna	1
Alumnus	4
Alutaria	1
Alutarius	119
Alzberger	1
Alzbergerbauer	8
Alzbergersohn	1
Alzbergertochter	1
Alzbruckzolleinnehmer	2
Ambberg zu Altenötting	1
Ambman	2
Ambtkhnecht	2
Ambtknecht	3
Ambtman	125
Ambtmanin	9
Ambtmanknecht	1
Ambtmann	8
Ambtmannin	2
Ambtmannstochter	3
Ambtmanskhnecht	1
Ambtmanskhneht	1
Ambtmanssohn	1
Ambtmanstochter	1
Ambtmantochter	1
Ambtmon	1
Ambtmonin	2
Ambtsburgermaister	1
Ambtscamerer	2
Ambtscammerer	6
Ambtscassier	1
Ambtskammerer	1
Ambtskhnecht	2
Ambtsknecht	2
Ambtsman	1
Ambtsschergin	1
Ambtsschreiber	1
Ambtsverwalter	1
Amersberger	2
Amersperger	1
Amixlederbauer	1
Ammerbauer	2
Ammereller	1
Amonheusbesitzerin	1
Amptman	4
Amptscammerer	1
Amptsverwalter	1
Amptsverweser	1
Amreiserbauerssohn	1
Amshamer	1
Amtman	7
Amtmann	10
Amtmann 	18
Amtmannin	2
Amtmannknecht	1
Amtmannssohn	4
Amtmannstochter	12
Amtmannswittwe	1
Amtmanntochter	1
Amtmans Sohn	1
Amtmanstochter	1
Amts- und Gerichtsdiener	1
Amtsboth	7
Amtsbothe	3
Amtsbothntochter	1
Amtsbürgermeistersehegattin	1
Amtschreiber	1
Amtsdiener	10
Amtsdiener am k. Hauptzollamte Simbach	1
Amtsdienerin	2
Amtsdienerssohn	1
Amtsdienerstochter	2
Amtsdienerswittwe	2
Amtsgehilfe	4
Amtsgerichtsaktuar	1
Amtsgerichtsassistent	1
Amtsgerichtsdiener	5
Amtsgerichtsdienersgehilfe	1
Amtsgerichtsdienerstochter	1
Amtsgerichtsekretär	1
Amtsgerichtsschreiber	2
Amtsgerichtssekretär	5
Amtsgerichtssekretariatsassistent	1
Amtsmannsgattin	1
Amtsmannstochter	1
Amtsofficial	1
Amtsrath	1
Amtsrichter	10
Amtsrichterssohn	1
Amtsschreiber	12
Amtsverwalter	1
Ancilla	72
Ancilla rustica	2
Anderl	2
Anderlbauer	8
Anderlbäuerin	1
Andräbauer	2
Andrebauer	1
Angerbauer	6
Angerbäuerin	1
Angerer	22
Angererbauer	20
Angererbauer 	1
Angererbäuerin	1
Angererbauerstochter	10
Angererin	1
Angerertochter	4
Angerhuber	1
Angerhuber 	5
Angerhuberbauer	1
Angerhubertochter	2
Angerin	1
Angermühler	1
Anman	1
Annshammer	1
Annularius	10
Annulorem  fabrefactor	1
Annulorum faber	1
Annulorum fabricator	1
Anschafer	2
Anschaffer	37
Ansiedler	24
Ansiedlerin	1
Ansiedlerstochter	3
Ansiedlungsbesitzer	1
Anstecher	6
Ansteher	1
Anstocher	1
Anstöherin	1
Anstreicher	3
Anteceßor	1
Antefersser	1
Antefresser	4
Antefresserin	1
Antermosnerbauer	1
Anterwichtlbauer	1
Antesignanus	2
Antetresser	1
Antigrapheus	3
Antigraphus	4
Antler	1
Antlerin	1
Antsdiener 	1
Anularius	6
Anwaldt	2
Anwaldt und Advokat	1
Anwaltsbuchhalter	1
Anwe	1
Anwesens-u. Wirthschaftsbesitzer	1
Anwesensbesitzer	65
Anwesensbesitzerin	17
Anwesensbesitzerstochter	5
Anwesenstochter	1
Anwohner	1
Anwsensbesitzerstochter	1
Anzenberger	1
Anzenbergerbauer	1
Anzenbergertochter	1
Anzingerwebertochter	1
Anznhenderbauer	1
Apariator	1
Aparitor	1
Apartamändiener	1
Apdeckher	2
Apellgerichtsrath	1
Apellsekretär	1
Apodecker	3
Apodeckerin	1
Apodegger	7
Apodekher	18
Apoteckher	1
Apotekher	4
Apothäker	1
Apothecker	3
Apothekenverwalter	1
Apothekeprovisor	1
Apotheker	79
Apothekerin	1
Apothekerprovisor	3
Apothekerskind	1
Apothekerssubjekt	1
Apothekerstochter	19
Apothekerswittwe	1
Apothekerverwalter	1
Apothekher	1
Apparitor	58
Apparitor judicialis	1
Apparitoris filia	1
Appelationsgerichtspräsident	1
Appelationsgerichtsräthin	1
Appelgerichtsrath	2
Appellationsgerichtsadvokat	1
Appellationsgerichtsassessor	1
Appellationsgerichtsboth	1
Appellationsgerichtsrath	5
Appellationsgerichtssekretär	1
Appellationsrath	1
Appelrathstochter	1
Appetökher	1
Appodeckher	2
Appodegger	6
Appodeker	2
Appodekher	2
Appotekher	1
Approbirter	1
Aquilex	1
Arbecker	1
Arbeiter	18
Arbeiter 	1
Arbeiterin	3
Arbeiterstochter	1
Arbeitshausvatter	2
Arbeitshausverwalter	1
Arbinger	4
Arbingerbauer	2
Archidiaconats Notarius	1
Archigramataeus	27
Archigramateus	2
Archigramathaeus	7
Archigramatheus	1
Archigrammataeus	1
Archigrammateus	8
Archigrammathaeus	1
Archigrammatheus	1
Architecturae lignariae magister	1
Architecturae magister	1
Architectus	1
Architekt	2
Arcis capellanus	2
Arcularius	22
Arculatus	1
Argstorfer	1
Arm	1
Arme Person	2
Armengürtler	1
Armenpfründner	7
Armenpfründnerin	4
Armenpfründtner	1
Armenpfründtnerin	2
Armer	1
Armiger	1
Armorum factor	1
Arnhuber	1
Arseidlerin	1
Arsimllerssohn	1
Artbauer	1
Arter	2
Artilleriedirektor	1
Artilleriemajor	2
Artilleriemajortochter	1
Artillerieoberleutnat	1
Artis doliariae magister	2
Artis praxatoriae magister	1
Artzentochter	1
Artzt	4
Arz	2
Arz 	1
Arzt	85
Arztenstochter	1
Arztesgattin	1
Arztgattin	1
Arztin	1
Ärztman	1
Arzttochter	1
Arztwittwe	1
Asbacherbauer	1
Asbacherbauerssohn	1
Asbäckbauer	1
Asbäckhäusler	1
Asbecktochter	1
Aschenbauerstochter	1
Ascherbauer	1
Ascherbäuerin	1
Aschner	1
Aschnerbauer	2
Aschnerbäuerin	1
Aschnerbauerstochter	1
Aschnertochter	1
Aschthallerbauer	1
Asenbauentochter	1
Asenbauer	6
Asenwinkler	1
Asenwinklerbauer	1
Asessor	1
Aspacherbauer	1
Asperlbauer	1
Asperlbauerntochter	1
Asperlsohn	2
Aspöckbauer	1
Assessor	7
Aßeßor	1
Assessorstochter	1
Assistent	2
Assistenzarzt	2
Associa	1
Associe	15
Associe (Theilhaber)	1
Associe der Wißtleckerl. Großhandlung	1
Associus	1
Assorstochter	1
Astaller	1
Astant	1
Asten	1
Astenbauer	1
Atag	2
Attenberger	1
Ättenprunner Millerin	1
Attstant	2
Atzkingütler	1
Au Müller Tochter	1
Aubennihäusler	1
Aubergergütlerstochter	1
Aubergweber	1
Aubinder	1
Aubindergütler	1
Aubinderhäusler	1
Auctionator	3
Aucupis@99	1
Audammerhäusler	1
Auditactuar	1
Auditor	12
Auditoractuar	1
Auditoriatsactuar	7
Auditoriatsaktuar	1
Auer	3
Auerbauer	1
Auerbauerstochter	1
Auergütler	1
Auerhäusler	3
Auerhofer	1
Auertochter	1
Auf dem Austrag	3
Auf dem Geisperger gütl	1
Auf dem Krayguett	1
Auf dem Schuster Gütl	1
Auf der Pier	1
Aufemstergütler	1
Aufenthalterin	2
Aufläger	3
Aufläger Sohn	1
Aufleger	542
Auflegerin	55
Auflegerkind	1
Auflegermaister	18
Auflegermeister	2
Auflegers Kind	2
Auflegers Söhnlein	1
Auflegers Tochter	1
Auflegers und Getreidmessers Gattin	1
Auflegersehefrau	1
Auflegersgattin	8
Auflegerskind	11
Auflegerssohn	3
Auflegerstochter	38
Auflegerstöchterl	1
Auflegerswittwe	15
Auflegerswitwe	7
Auflegertochter	3
Auflegmaister	1
Aufloger	1
Auflöger	35
Auflögerin	4
Auflögermaister	2
Auflögerstochter	1
Auflözler	1
Auforster	5
Aufpoitner	1
Aufrasrer	1
Aufschlageinnemer	1
Aufschlager	4
Aufschläger	34
Aufschläger 	1
Aufschlagerbauer	1
Aufschlägers und Lehrersgattin	1
Aufschlägerssohn	3
Aufschlägerstochter	4
Aufschlagertochter	1
Aufschlaggegenschreiber	1
Aufschlags gegenschreiber	1
Aufschlagsbeambter	2
Aufschlagsbeamtensgattin	1
Aufschlagsbeamtentochter	2
Aufschlagsbeamter	5
Aufschlagseinnehmer	18
Aufschlagseinnehmerstochter	1
Aufschlagseinnemer	2
Aufschlagsgegenschreiber	22
Aufschlagsgegenschreiberin	3
Aufschlagsgegenschreiberstochter	6
Aufschlagsgöngschreiber	1
Aufschlagsmiteinnemmer	1
Aufschlagspraktikant	3
Aufschlagsverpflichter	1
Aufschlagsverwalter	1
Aufschleger	1
Aufschlöger	7
Aufseher	17
Aufseherstochter	1
Aufslöger	1
Augaßner	1
Augaßnertochter	1
Augenarzt	2
Augenarzts Wittwe	1
Augenarztsgattin	1
Augenoperateur	1
Augenoperateurs Gattin	1
Aügentler	1
Augerer	1
Auggenthaler	3
Auggenthalergütler	1
Auggenthalergütlerin	1
Augnerbauer	1
Auhäusler	6
Auhäuslerin	1
Auhäuslgütler	1
Auhuberbauer	1
Auktionator	5
Aulae scriba	1
Aulaescriba	1
Aulicus	2
Aumaister	1
Aumangütler	1
Aumihler	1
Aumiller	5
Aumühler	14
Aumühlerin	1
Aumühlerstochter	1
Aumühlertochter	1
Aumüler	1
Aumüller	5
Aumüllerin	4
Aumüllersgattin	1
Aumüllerstochter	1
Auöhterersohn	1
Auösterer 	2
Auösterergütler	2
Auösterertochter	2
Aurfaber	1
Aurifaber	92
Aurifex	2
Auriga	45
Auriga 	1
Aurigarius	1
Ausbeitnersbauerssohn	1
Ausbruch	1
Ausbruchgütler	8
Ausbrüchler	6
Ausbrüchlerin	1
Ausbruchsgütler	1
Auscherg@99	1
Auseppengütler	1
Ausepphäusler	1
Ausgeher	5
Ausgeherin	5
Ausgütler	1
Aushilfslehrer	3
Aushilfslehrerin	1
Aushilfspraktikant	1
Aushilfswärter	1
Aushoferbauer	1
Ausleitner	1
Ausleitnerbauer	2
Ausmahmsbäuerin	1
Ausmahmshäusler	1
Ausnahmbauer	13
Ausnahmebauer	1
Ausnahmsbauer	55
Ausnahmsbäuerin	7
Ausnahmsbaur	1
Ausnahmsgütler	3
Ausnahmsmüller	1
Ausnahmsmüllerin	1
Ausnahmsmüllermeister	1
Ausnahmsschuhmacher	1
Ausnahmssöldner	1
Ausnahmviertlbauer	1
Ausnahmwirth	1
Ausschlager	1
Äusserer Rath	3
Äusserer Rhat	6
Außermayrbauer	1
Außernkagerer	1
Außleger	1
Ausstocker	2
Ausstragshalbbauer	1
Außzigler	1
Austecher	2
Austöcher	1
Austräg	1
Austrag-Mann	1
Austrag Weib	1
Austragbauer	42
Austragbäuerin	3
Austragbäurin	1
Austragbeuerin	1
Austräge	1
Austrägelr	1
Austräger	1
Austrägerin	1
Austräghalbbauer	1
Austrägl 	1
Austragler	50
Austrägler	768
Austragler 	4
Austrägler Bauer	1
Austrägler Bäurinn	1
Austraglerbauer	1
Austräglerbauer	2
Austräglerbäuerin	1
Austraglerin	8
Austräglerin	76
Austraglerinn	1
Austräglerinn	2
Austraglerpaur	1
Austräglerssohn	1
Austräglerstochter	5
Austragman	16
Austragmann	3
Austragner	1
Austragpaur	1
Austrags-Söldner	1
Austrags-Wagner	1
Austragsabdeker	1
Austragsbäcker	1
Austragsbäckin	1
Austragsbauer	801
Austragsbäuerin	45
Austragsbäuerl	1
Austragsbauerstochter	4
Austragsbauersweib	1
Austragsbauerswittwe	1
Austragsbaur	2
Austragsbäurin	6
Austragsbäurinn	1
Austragsberger	2
Austragsbeyerin	1
Austragsbierbrauer	1
Austragsbräuer	1
Austragsfeldhäusler	1
Austragsfischer	1
Austragsgenießerin	1
Austragsgütler	66
Austragsgütler 	2
Austragsgütler  	1
Austragsgütlerin	3
Austragshäusler	6
Austragskleingütler	1
Austragskrämerin	1
Austragsman	7
Austragsman 	2
Austragsmann	4
Austragsmeßner	1
Austragsmetzger	2
Austragsmühler	2
Austragsmühlerin	1
Austragsmüller	27
Austragsmüllerin	1
Austragsneumaierin	1
Austragsschlosser	3
Austragsschmid	1
Austragsschneider	3
Austragsschuhmacher	1
Austragsschuster	1
