name	cnt
Adeleitner	13
Adelgasser	5
Adelgehringer	14
Adelgruber	1
Adelhart	1
Adelhaydn	1
Adelheiter	1
Adelheyder	1
Adelhoch	4
Adelholz	5
Adelkhover	2
Adelkind	10
Adelkundt	1
Adelmaininger	1
Adelman	1
Adelmaninger	1
Adelmann	15
Adelmanninger	2
Adelmanseder	40
Adelmühler	1
Adelmüller	6
Adelpichler	1
Adelsberger	25
Adelsbottinger	1
Adelsbrunner	1
Adelsgruber	19
Adelsgrueber	1
Adelsperger	8
Adeltzreiter	1
Adeltzreiter, von	1
Ademsamer	1
Adenbauer	9
Adenberger	108
Ädenberger	3
Adenbogner	1
Adenbruner	2
Adenbrunner	3
Adeneder	2
Adenhauser	1
Ädenhauser	4
Adenhofer	1
Adenhuber	2
Adeninger	1
Adenleutner	1
Adenperger	3
Ädenperger	1
Adensamer	4
Adenstammer	1
Ader	2
Aderbacher	1
Aderbauer	235
Aderberger	1
Aderecker	1
Äderecker	1
Adereckher	1
Aderer	9
Äderhauser	1
Aderlberger	4
Aderleithner	2
Aderleitner	70
Adermaier	2
Aderpauer	1
Adersbäcker	1
Adersberger	2
Adersleutner	2
Aderspacher	1
Aderspeck	1
Aderspöck	5
Äderspöck	6
Aderspoeck	1
Adescher	1
Adinan	1
Adinger	19
Adl	12
Adlbauer	5
Adlberger	102
Adlboeter	2
Adldorfer	1
Adleder	108
Ädleder	3
Adlederin	1
Adlehner	1
Adler	135
Adlerbauer	1
Adlersböck	1
Adlersfeld	1
Adlersgruber	13
Adlerspeck	1
Adlesberger	1
Adletsberger	5
Adlezberger	1
Adlgasser	5
Adlgaßer	1
Adlgasserin	1
Adlgaßner	11
Adlgehringer	9
Adlgeringer	13
Adlhaider	1
Adlhaittner	1
Adlhart	1
Adlhauser	1
Adlheider	1
Adlhoch	4
Adlhofer	1
Adlholz	1
Adlichhammer	12
Adling	1
Adlinger	46
Adlkind	18
Adlkofer	6
Adlmachus	1
Adlmaier	1
Adlmair	2
Adlman	1
Adlmaniger	6
Adlmaninger	26
Adlmann	28
Adlmänn	1
Adlmanninger	67
Adlmannseder	14
Adlmannssederin	1
Adlmanseder	43
Adlmansperger	1
Adlmayer	2
Adlmayr	2
Adlmeininger	1
Adlmeninger	1
Adlmiedinger	1
Adlmiller	1
Adlmühler	1
Adlmüller	63
Adlmüllner	1
Adlmülner	1
Adlöder	8
Adlpadinger	1
Adlperger	1
Adlpodinger	3
Adlreitter	1
Adlsberger	6
Adlsgruber	1
Adlsperger	42
Adlstorfer	2
Adlwarth	3
Adlzreither	1
Admair	1
Adman	2
Admansperger	1
Admuß	1
Adnbauer	5
Adnberger	1
Adner	1
Ädnhausen	1
Adolf	8
Adolph	6
Ador	2
Adorffer	2
Adorján	1
Adrer	1
Adrian	3
Adrian de	1
Adrigo	1
Adsperger	1
Adt	1
